data,label,CCT_xc_distance,CCT_xc_count1,CCT_xc_count7,CCT_x4_distance,CCT_x4_count1,CCT_x4_count7,r50_xc_distance,r50_xc_count1,r50_xc_count7,r50_x4_distance,r50_x4_count1,r50_x4_count7
chest_xray/train/0/CX-0-0001.jpeg_000,1,5.3600444735457664e-05,1,7,0.049651709644604525,1,7,8.954992246734683e-06,1,7,0.043450483069744084,1,7
chest_xray/train/0/CX-0-0001.jpeg_001,0,1.9998555401173426,0,0,1.4987846643589386,0,0,1.9950619683451793,0,0,0.2401887893652057,0,0
chest_xray/train/0/CX-0-0002.jpeg_000,1,0.00020119396181816906,1,7,0.06484834160082364,1,7,1.554924105140465e-06,1,7,0.02627633401288254,1,7
chest_xray/train/0/CX-0-0002.jpeg_001,0,1.999973415443574,0,0,1.4933666708022506,0,0,1.994813919733132,0,0,0.24238099082715014,0,0
chest_xray/train/0/CX-0-0003.jpeg_000,1,1.526714755062386e-06,1,7,0.03548016920680419,1,7,7.003447744846625e-06,1,7,0.017586275079041758,1,7
chest_xray/train/0/CX-0-0003.jpeg_001,0,1.9995766515338436,0,0,1.4823435590894638,0,0,1.9942388125609887,0,0,0.2475491761230293,0,0
chest_xray/train/0/CX-0-0004.jpeg_000,1,9.322517097654082e-05,0,6,0.08388510295800744,1,7,1.1388806886336589e-05,1,7,0.0242782793826658,1,7
chest_xray/train/0/CX-0-0004.jpeg_001,0,1.9991593527118496,1,1,1.3908141305825272,0,0,1.9951154777914435,0,0,0.2388684619054423,0,0
chest_xray/train/0/CX-0-0005.jpeg_000,1,2.1559512294322403e-06,1,7,0.09681311235782919,1,7,2.8771249697467915e-05,1,7,0.034816485126090146,1,7
chest_xray/train/0/CX-0-0005.jpeg_001,0,1.9995670220778616,0,0,1.4367959673854924,0,0,1.993819537104939,0,0,0.2195712237799985,0,0
chest_xray/train/0/CX-0-0006.jpeg_000,1,2.239585248819953e-05,1,7,0.04595571183390179,1,7,5.998890864389317e-06,1,7,0.029566489784647598,1,7
chest_xray/train/0/CX-0-0006.jpeg_001,0,1.9994205470817172,0,0,1.4908086991339502,0,0,1.9949854226751924,0,0,0.22116868586810245,0,0
chest_xray/train/0/CX-0-0007.jpeg_000,1,1.165255278534616e-05,1,7,0.11107404029567158,1,7,8.847963319680296e-06,1,7,0.04463427956078292,1,7
chest_xray/train/0/CX-0-0007.jpeg_001,0,1.9994822936413574,0,0,1.338208174985722,0,0,1.9941889624256144,0,0,0.24163913006633708,0,0
chest_xray/train/0/CX-0-0008.jpeg_000,1,1.5057643594218462e-06,1,7,0.06749482484202018,1,7,2.0007736323268688e-07,1,7,0.02249967912235684,1,7
chest_xray/train/0/CX-0-0008.jpeg_001,0,1.9996719204968332,0,0,1.400372456016546,0,0,1.9946982580211885,0,0,0.2500701772356194,0,0
chest_xray/train/0/CX-0-0009.jpeg_000,1,3.081467568821772e-05,1,7,0.09336899972768875,1,7,7.0414993724732255e-06,1,7,0.04613173695206818,1,7
chest_xray/train/0/CX-0-0009.jpeg_001,0,1.999380468873652,0,0,1.3166130036588244,0,0,1.9942377241839269,0,0,0.2324059811638438,0,0
chest_xray/train/0/CX-0-0010.jpeg_000,1,0.00030616538363803514,1,6,0.13987253382396214,1,6,3.079472992129073e-05,1,7,0.07978382176437815,1,7
chest_xray/train/0/CX-0-0010.jpeg_001,0,1.9986432255692128,0,1,1.3056496498454861,0,1,1.9937903944833044,0,0,0.21444131542044398,0,0
chest_xray/train/0/CX-0-0011.jpeg_000,1,5.0430075853258316e-05,1,7,0.04383129748306702,1,7,6.840481729941672e-07,1,7,0.012776206736915596,1,7
chest_xray/train/0/CX-0-0011.jpeg_001,0,1.9998502078560554,0,0,1.53460567761992,0,0,1.9947533459300615,0,0,0.2383300955406834,0,0
chest_xray/train/0/CX-0-0012.jpeg_000,1,0.00010132612937130414,1,7,0.14449766245563034,1,7,5.087003358883457e-06,1,7,0.03171411826489812,1,7
chest_xray/train/0/CX-0-0012.jpeg_001,0,1.9991353688898812,0,0,1.291267733812633,0,0,1.9942979254366364,0,0,0.24071499269641627,0,0
chest_xray/train/0/CX-0-0013.jpeg_000,1,0.00017665434753566522,1,6,0.043098571605627134,1,7,2.400584064976563e-06,1,7,0.019404331807696296,1,7
chest_xray/train/0/CX-0-0013.jpeg_001,0,1.9999634071271903,0,1,1.5240399859415679,0,0,1.9944039093640118,0,0,0.23916823688770117,0,0
chest_xray/train/0/CX-0-0014.jpeg_000,1,4.018322961929499e-06,1,7,0.018758166246447328,1,7,1.2445866415244922e-07,1,7,0.00917580772766824,1,7
chest_xray/train/0/CX-0-0014.jpeg_001,0,1.9995444199133328,0,0,1.5160852539487013,0,0,1.9945812622529486,0,0,0.23443865897037686,0,0
chest_xray/train/0/CX-0-0015.jpeg_000,1,2.6906625193778844e-05,1,7,0.06279225318505122,1,7,1.7227803061903302e-07,1,7,0.02161959097926358,1,7
