data,label,CCT_xc_distance,CCT_xc_count5,CCT_xc_count7,CCT_x4_distance,CCT_x4_count5,CCT_x4_count7,r50_xc_distance,r50_xc_count5,r50_xc_count7,r50_xc_xs5,r50_xc_xs3,r50_x4_distance,r50_x4_count5,r50_x4_count7
chest_hosp/train/0/CX-0-0001.jpeg_000,1,1.2943610729804884,5,7,0.14103417230288628,5,7,8.953758119822908e-06,5,7,5,3,0.043449498180728185,5,7
chest_hosp/train/0/CX-0-0001.jpeg_001,0,1.9755727690705627,0,0,0.7701326569032687,0,0,1.9950620005990851,0,0,0,0,0.24019207630794615,0,0
chest_hosp/train/0/CX-0-0002.jpeg_000,1,1.4297176160554204,5,7,0.22605403040828698,5,7,1.5550938212705034e-06,5,7,5,3,0.02627618023280598,5,7
chest_hosp/train/0/CX-0-0002.jpeg_001,0,1.9971065710197764,0,0,0.8618331237407232,0,0,1.9948139922352777,0,0,0,0,0.24238144409089435,0,0
chest_hosp/train/0/CX-0-0003.jpeg_000,1,1.3673856951511005,5,7,0.1944691738264408,5,7,6.989446675098598e-06,5,7,5,3,0.017586730386044302,5,7
chest_hosp/train/0/CX-0-0003.jpeg_001,0,1.989639397014753,0,0,0.894753606298416,0,0,1.9942392798344195,0,0,0,0,0.24755288189416702,0,0
chest_hosp/train/0/CX-0-0004.jpeg_000,1,1.3071410579746552,5,7,0.19193860089031833,5,7,1.1384503294631365e-05,5,7,5,3,0.02427851422165106,5,7
chest_hosp/train/0/CX-0-0004.jpeg_001,0,1.978428867545261,0,0,0.8524427900130335,0,0,1.9951154496338648,0,0,0,0,0.23887340556655257,0,0
chest_hosp/train/0/CX-0-0005.jpeg_000,1,0.5226456896962479,0,0,0.22697421137965845,4,6,2.8784911255019807e-05,5,7,5,3,0.034815766917287494,5,7
chest_hosp/train/0/CX-0-0005.jpeg_001,0,0.00025601160652322097,5,7,0.38797050389191035,1,1,1.993819405650948,0,0,0,0,0.2195725694897429,0,0
chest_hosp/train/0/CX-0-0006.jpeg_000,1,0.05661072211800733,5,5,0.1495570182594067,5,7,5.9974825992181735e-06,5,7,5,3,0.029564948039254135,5,7
chest_hosp/train/0/CX-0-0006.jpeg_001,0,0.24322736071849183,0,2,0.6755723630621305,0,0,1.9949854436786354,0,0,0,0,0.22117332760688302,0,0
chest_hosp/train/0/CX-0-0007.jpeg_000,1,0.45783288135942146,2,3,0.19536917556526334,5,7,8.859497709678976e-06,5,7,5,3,0.04463272855766742,5,7
chest_hosp/train/0/CX-0-0007.jpeg_001,0,0.0013906562487155938,3,4,0.4174351015117538,0,0,1.9941887337265725,0,0,0,0,0.24164223495456327,0,0
chest_hosp/train/0/CX-0-0008.jpeg_000,1,1.3598924198944506,5,7,0.20711050178763757,5,7,2.0004724543554175e-07,5,7,5,3,0.022501504703406727,5,7
chest_hosp/train/0/CX-0-0008.jpeg_001,0,1.988452472641758,0,0,0.9108865435315624,0,0,1.9946983165322751,0,0,0,0,0.25007638193895854,0,0
chest_hosp/train/0/CX-0-0009.jpeg_000,1,1.1890805529529,4,6,0.22506418336840972,5,7,7.028564542044258e-06,5,7,5,3,0.04613377573555344,5,7
chest_hosp/train/0/CX-0-0009.jpeg_001,0,1.946028067492482,1,1,0.7294672898634578,0,0,1.994238159929342,0,0,0,0,0.23240670904497063,0,0
chest_hosp/train/0/CX-0-0010.jpeg_000,1,1.3772689353577556,5,7,0.3499679108660436,4,6,3.079994486854254e-05,5,7,5,3,0.07977668745485689,5,7
chest_hosp/train/0/CX-0-0010.jpeg_001,0,1.9911121825583433,0,0,0.9962238562979109,1,1,1.9937903891542286,0,0,0,0,0.21445080631667568,0,0
chest_hosp/train/0/CX-0-0011.jpeg_000,1,0.48652391933830996,0,0,0.12296284464155338,5,7,6.857412490068882e-07,5,7,5,3,0.012776170199646497,5,7
chest_hosp/train/0/CX-0-0011.jpeg_001,0,0.000179754582812941,5,7,0.4534557447001273,0,0,1.994753556997221,0,0,0,0,0.23833646038770584,0,0
chest_hosp/train/0/CX-0-0012.jpeg_000,1,1.2233318929964945,5,6,0.24469683167102518,5,7,5.094841034836151e-06,5,7,5,3,0.031716408969217125,5,7
chest_hosp/train/0/CX-0-0012.jpeg_001,0,1.9567909744882723,0,1,0.7333383602641279,0,0,1.9942977292558142,0,0,0,0,0.2407156334769126,0,0
chest_hosp/train/0/CX-0-0013.jpeg_000,1,1.2699631068968087,5,7,0.12016694268884931,5,7,2.399675686381997e-06,5,7,5,3,0.019405674315847277,5,7
chest_hosp/train/0/CX-0-0013.jpeg_001,0,1.9696710357592933,0,0,0.748709197718297,0,0,1.994404018303643,0,0,0,0,0.23917286301324414,0,0
chest_hosp/train/0/CX-0-0014.jpeg_000,1,0.4222298054704332,0,1,0.084566474407205,5,7,1.2544637995048902e-07,5,7,5,3,0.00917560710419929,5,7
chest_hosp/train/0/CX-0-0014.jpeg_001,0,0.004578075856551456,5,6,0.5143927489273863,0,0,1.9945811209441504,0,0,0,0,0.23444436693347037,0,0
chest_hosp/train/0/CX-0-0015.jpeg_000,1,0.44228420615532615,0,0,0.21124655860009767,5,7,1.7205522528929151e-07,5,7,5,3,0.021618675041055635,5,7
chest_hosp/train/0/CX-0-0015.jpeg_001,0,0.002545152893354663,5,7,0.45144758222405734,0,0,1.9946935931532255,0,0,0,0,0.24035574698447382,0,0
chest_hosp/train/0/CX-0-0016.jpeg_000,1,0.3936633972913045,0,0,0.13974639130447764,5,7,1.2957205286490137e-07,5,7,5,3,0.019733744585148205,5,7
chest_hosp/train/0/CX-0-0016.jpeg_001,0,0.008591220173851277,5,7,0.4933411891974101,0,0,1.994580271527502,0,0,0,0,0.21498006593387053,0,0
chest_hosp/train/0/CX-0-0017.jpeg_000,1,0.4932698441456741,2,2,0.1386643773924101,5,7,1.2819419747955862e-08,5,7,5,3,0.017107511289481292,5,7
chest_hosp/train/0/CX-0-0017.jpeg_001,0,6.180325681470755e-05,3,5,0.4970865757374747,0,0,1.9946164908790043,0,0,0,0,0.22813176545798597,0,0
chest_hosp/train/0/CX-0-0018.jpeg_000,1,0.3993291504967219,2,3,0.19928827457904097,5,7,6.965957638604969e-06,5,7,5,3,0.041884336746297435,5,7
chest_hosp/train/0/CX-0-0018.jpeg_001,0,0.007686833740069732,3,4,0.5100786960964292,0,0,1.9950123303413179,0,0,0,0,0.20505296936925688,0,0
chest_hosp/train/0/CX-0-0019.jpeg_000,1,1.1560955701771691,4,6,0.13362224839953407,5,7,8.700591339960706e-05,5,7,5,3,0.032950865034909405,5,7
chest_hosp/train/0/CX-0-0019.jpeg_001,0,1.9346463096641613,1,1,0.7331764366137947,0,0,1.9931817147841198,0,0,0,0,0.2178154927516851,0,0
chest_hosp/train/0/CX-0-0020.jpeg_000,1,1.2746343100381503,5,7,0.11348338568036165,4,6,7.625485441642432e-06,5,7,5,3,0.06934070676889159,4,6
chest_hosp/train/0/CX-0-0020.jpeg_001,0,1.9708461485723845,0,0,0.7523456160339866,1,1,1.9942214293106724,0,0,0,0,0.2237363840104265,1,1
chest_hosp/train/0/CX-0-0021.jpeg_000,1,0.41340936020062735,1,2,0.08516151020466389,5,7,1.9357356372262657e-06,5,7,5,3,0.021527919618170355,5,7
chest_hosp/train/0/CX-0-0021.jpeg_001,0,0.00567352082123862,4,5,0.5936410983378468,0,0,1.9948347239370219,0,0,0,0,0.22592335625404125,0,0
chest_hosp/train/0/CX-0-0022.jpeg_000,1,0.6204732361404506,4,5,0.1640053800591672,5,7,4.3991872531345955e-05,5,7,5,3,0.05604788137059513,5,7
chest_hosp/train/0/CX-0-0022.jpeg_001,0,1.6140974013358633,1,2,0.6242754608312612,0,0,1.9936188252317133,0,0,0,0,0.20394323323350438,0,0
chest_hosp/train/0/CX-0-0023.jpeg_000,1,0.4687589554929359,0,0,0.20673656139124474,5,7,1.8850118098656665e-06,5,7,5,3,0.05857814571822939,5,7
chest_hosp/train/0/CX-0-0023.jpeg_001,0,0.0007917148390923501,5,7,0.5268822986688702,0,0,1.9944303020432073,0,0,0,0,0.2570832609764734,0,0
chest_hosp/train/0/CX-0-0024.jpeg_000,1,0.46579017274937407,0,0,0.22290021589013065,5,7,4.515909002300589e-07,5,7,5,3,0.02945155776035846,5,7
chest_hosp/train/0/CX-0-0024.jpeg_001,0,0.0009374269485370457,5,7,0.45151410624689814,0,0,1.9947309505359012,0,0,0,0,0.23125652996415058,0,0
chest_hosp/train/0/CX-0-0025.jpeg_000,1,0.5056975413785734,0,0,0.21293790968270576,5,7,1.1961850354680337e-07,5,7,5,3,0.017979593560303098,5,7
chest_hosp/train/0/CX-0-0025.jpeg_001,0,5.240880520007707e-06,5,7,0.4059806484142481,0,0,1.994582344874313,0,0,0,0,0.22165843330602764,0,0
chest_hosp/train/0/CX-0-0026.jpeg_000,1,0.3474185226870914,3,4,0.26426705473822865,4,6,8.96316942855524e-06,5,7,5,3,0.07354536326779793,5,7
